Season,Competition,Matchday,Date,Venue,Club,Opponent,Playing_Position,Minute,Type,Goal_assist,MT_Result,Opponent_result,MT_At_Score,Opponent_At_Score
04/05,LaLiga,34,05/01/05,H,FC Barcelona,Albacete Balompie,CF,91,Left-footed shot,Ronaldinho Gaucho,2,0,2,0
05/06,UEFA Champions League,Group Stage,11/02/05,H,FC Barcelona,Panathinaikos Athens,RW,34,Left-footed shot,,5,0,3,0
05/06,LaLiga,13,11/27/05,H,FC Barcelona,Racing Santander,RW,51,Left-footed shot,Samuel Etoo,4,1,2,0
05/06,LaLiga,19,01/15/06,H,FC Barcelona,Athletic Bilbao,RW,50,Left-footed shot,Mark van Bommel,2,1,2,1
05/06,LaLiga,20,01/22/06,H,FC Barcelona,Deportivo Alaves,CF,82,Left-footed shot,Ronaldinho Gaúcho,2,0,2,0
05/06,LaLiga,21,01/29/06,A,FC Barcelona,RCD Mallorca,CF,75,Right-footed shot,Sylvinho,3,0,2,0
05/06,LaLiga,21,01/29/06,A,FC Barcelona,RCD Mallorca,CF,83,Left-footed shot,Ronaldinho Gaúcho,3,0,3,0
05/06,Copa del Rey,Quarter-Finals,02/01/06,H,FC Barcelona,Real Zaragoza,CF,42,Header,Ludovic Giuly,2,1,1,0
05/06,LaLiga,24,02/18/06,H,FC Barcelona,Real Betis Balompie,RW,84,Left-footed shot,,5,1,5,1
06/07,LaLiga,1,08/28/06,A,FC Barcelona,Celta de Vigo,LW,59,Left-footed shot,Andres Iniesta,3,2,2,1
06/07,LaLiga,2,09/09/06,H,FC Barcelona,CA Osasuna,RW,36,Left-footed shot,Samuel Etoo,3,0,3,0
06/07,UEFA Champions League,Group Stage,09/27/06,A,FC Barcelona,SV Werder Bremen,RW,89,Left-footed shot,Deco,1,1,1,1
06/07,LaLiga,6,10/15/06,H,FC Barcelona,Sevilla FC,RW,80,Right-footed shot,Xavi,3,1,3,1
06/07,LaLiga,26,03/10/07,H,FC Barcelona,Real Madrid,RW,11,Left-footed shot,Samuel Etoo,3,3,1,1
06/07,LaLiga,26,03/10/07,H,FC Barcelona,Real Madrid,RW,28,Left-footed shot,,3,3,2,2
06/07,LaLiga,26,03/10/07,H,FC Barcelona,Real Madrid,RW,91,Left-footed shot,Ronaldinho Gaúcho,3,3,3,3
06/07,LaLiga,27,03/17/07,A,FC Barcelona,Recreativo Huelva,RW,86,Left-footed shot,,4,0,4,0
06/07,LaLiga,28,03/31/07,H,FC Barcelona,Deportivo de La Coruña,RW,45,Left-footed shot,Ronaldinho Gaúcho,2,1,1,0
06/07,Copa del Rey,Semi-Finals,04/18/07,H,FC Barcelona,Getafe CF,RW,29,Solo run,Xavi,5,2,2,0
06/07,Copa del Rey,Semi-Finals,04/18/07,H,FC Barcelona,Getafe CF,RW,45,Left-footed shot,Deco,5,2,3,0
06/07,LaLiga,35,05/20/07,A,FC Barcelona,Atlético de Madrid,RW,39,Left-footed shot,Samuel Etoo,6,0,1,0
06/07,LaLiga,35,05/20/07,A,FC Barcelona,Atlético de Madrid,RW,80,Left-footed shot,Giovanni van Bronckhorst,6,0,5,0
06/07,LaLiga,37,06/09/07,H,FC Barcelona,RCD Espanyol Barcelona,RW,43,,Gianluca Zambrotta,2,2,1,1
06/07,LaLiga,37,06/09/07,H,FC Barcelona,RCD Espanyol Barcelona,RW,57,Right-footed shot,Deco,2,2,2,1
06/07,LaLiga,38,06/17/07,A,FC Barcelona,Gimnastic de Tarragona,RW,34,Left-footed shot,Deco,5,1,2,0
06/07,LaLiga,38,06/17/07,A,FC Barcelona,Gimnastic de Tarragona,RW,51,Left-footed shot,Deco,5,1,4,0
07/08,UEFA Champions League,Group Stage,09/19/07,H,FC Barcelona,Olympique Lyon,RW,82,Left-footed shot,Andres Iniesta,3,0,2,0
07/08,LaLiga,4,09/22/07,H,FC Barcelona,Sevilla FC,RW,72,Left-footed shot,Thierry Henry,2,1,1,0
07/08,LaLiga,4,09/22/07,H,FC Barcelona,Sevilla FC,RW,79,Penalty,,2,1,2,0
07/08,LaLiga,5,09/26/07,H,FC Barcelona,Real Zaragoza,RW,5,Left-footed shot,Thierry Henry,4,1,1,0
07/08,LaLiga,5,09/26/07,H,FC Barcelona,Real Zaragoza,RW,10,Left-footed shot,Deco,4,1,2,1
07/08,LaLiga,6,09/29/07,A,FC Barcelona,Levante UD,RW,50,Left-footed shot,Deco,4,1,4,0
07/08,UEFA Champions League,Group Stage,10/02/07,A,FC Barcelona,VfB Stuttgart,RW,66,Deflected shot on goal,Thierry Henry,2,0,2,0
07/08,LaLiga,7,10/07/07,H,FC Barcelona,Atlético de Madrid,RW,19,Left-footed shot,Ronaldinho Gaúcho,3,0,2,0
07/08,LaLiga,9,10/28/07,H,FC Barcelona,UD Almera,RW,80,Penalty,,2,0,2,0
07/08,UEFA Champions League,Group Stage,11/07/07,H,FC Barcelona,Rangers FC,RW,41,Left-footed shot,Ronaldinho Gaúcho,2,0,2,0
07/08,LaLiga,13,11/24/07,H,FC Barcelona,Recreativo Huelva,RW,81,Penalty,,3,0,3,0
07/08,UEFA Champions League,Group Stage,11/27/07,A,FC Barcelona,Olympique Lyon,RW,58,Penalty,,2,2,2,1
07/08,UEFA Champions League,last 16,02/20/08,A,FC Barcelona,Celtic FC,RW,18,Left-footed shot,Deco,3,2,1,1
07/08,UEFA Champions League,last 16,02/20/08,A,FC Barcelona,Celtic FC,RW,79,Left-footed shot,,3,2,3,2
07/08,LaLiga,25,02/24/08,H,FC Barcelona,Levante UD,RW,44,Left-footed shot,Xavi,5,1,2,1
07/08,LaLiga,35,05/04/08,H,FC Barcelona,Valencia CF,RW,5,Penalty,,6,0,1,0
08/09,LaLiga,2,09/13/08,H,FC Barcelona,Racing Santander,RW,70,Penalty,,1,1,1,0
08/09,LaLiga,3,09/21/08,A,FC Barcelona,Sporting de Gijón,RW,85,Left-footed shot,Andres Iniesta,6,1,5,1
08/09,LaLiga,3,09/21/08,A,FC Barcelona,Sporting de Gijón,RW,89,Header,Xavi,6,1,6,1
08/09,LaLiga,5,09/27/08,A,FC Barcelona,RCD Espanyol Barcelona,RW,90,Penalty,,2,1,2,1
08/09,UEFA Champions League,Group Stage,10/01/08,A,FC Barcelona,Shakhtar Donetsk,RW,87,Right-footed shot,Bojan Krkic,2,1,1,1
08/09,UEFA Champions League,Group Stage,10/01/08,A,FC Barcelona,Shakhtar Donetsk,RW,92,Left-footed shot,Xavi,2,1,2,1
08/09,LaLiga,6,10/04/08,H,FC Barcelona,Atlético de Madrid,RW,8,Direct free kick,,6,1,3,0
08/09,UEFA Champions League,Group Stage,10/22/08,A,FC Barcelona,FC Basel 1893,CF,4,Left-footed shot,Dani Alves,5,0,1,0
08/09,LaLiga,9,11/01/08,A,FC Barcelona,Málaga CF,RW,19,Left-footed shot,,4,1,2,1
08/09,UEFA Champions League,Group Stage,11/04/08,H,FC Barcelona,FC Basel 1893,RW,61,Left-footed shot,Thierry Henry,1,1,1,0
08/09,Copa del Rey,Fifth Round,11/12/08,H,FC Barcelona,Benidorm CD,RW,86,Penalty rebound,,1,0,1,0
08/09,LaLiga,11,11/16/08,A,FC Barcelona,Recreativo Huelva,RW,51,Left-footed shot,Xavi,2,0,1,0
08/09,UEFA Champions League,Group Stage,11/26/08,A,FC Barcelona,Sporting CP,RW,49,Left-footed shot,Dani Alves,5,2,3,0
08/09,LaLiga,13,11/29/08,A,FC Barcelona,Sevilla FC,RW,78,Left-footed shot,Xavi,3,0,2,0
08/09,LaLiga,13,11/29/08,A,FC Barcelona,Sevilla FC,RW,92,Left-footed shot,Aleksandr Hleb,3,0,3,0
08/09,LaLiga,15,12/13/08,H,FC Barcelona,Real Madrid,RW,89,Counter attack goal,Thierry Henry,2,0,2,0
08/09,Copa del Rey,Round of 16,01/06/09,A,FC Barcelona,Atlético de Madrid,RW,11,Left-footed shot,Dani Alves,3,1,1,0
08/09,Copa del Rey,Round of 16,01/06/09,A,FC Barcelona,Atlético de Madrid,RW,57,Penalty,,3,1,2,0
08/09,Copa del Rey,Round of 16,01/06/09,A,FC Barcelona,Atlético de Madrid,RW,79,Right-footed shot,Andres Iniesta,3,1,3,1
08/09,LaLiga,18,01/11/09,A,FC Barcelona,CA Osasuna,RW,84,Left-footed shot,Dani Alves,3,2,3,2
08/09,LaLiga,19,01/17/09,H,FC Barcelona,Deportivo de La Coruña,RW,21,Left-footed shot,,5,0,1,0
08/09,LaLiga,20,01/24/09,H,FC Barcelona,CD Numancia,RW,49,Left-footed shot,Dani Alves,4,1,1,0
08/09,LaLiga,20,01/24/09,H,FC Barcelona,CD Numancia,RW,76,Right-footed shot,,4,1,4,1
08/09,LaLiga,21,02/01/09,A,FC Barcelona,Racing Santander,RW,65,Right-footed shot,Xavi,2,1,1,1
08/09,LaLiga,21,02/01/09,A,FC Barcelona,Racing Santander,RW,81,Right-footed shot,,2,1,2,1
08/09,LaLiga,25,03/01/09,A,FC Barcelona,Atlético de Madrid,RW,30,Left-footed shot,,3,4,2,0
08/09,Copa del Rey,Semi-Finals,03/04/09,A,FC Barcelona,RCD Mallorca,RW,81,Left-footed shot,Gerard Pique,1,1,1,1
08/09,LaLiga,26,03/07/09,H,FC Barcelona,Athletic Bilbao,RW,31,Penalty,,2,0,2,0
08/09,UEFA Champions League,last 16,03/11/09,H,FC Barcelona,Olympique Lyon,RW,40,Left-footed shot,Samuel Etoo,5,2,3,0
08/09,LaLiga,28,03/22/09,H,FC Barcelona,Málaga CF,RW,26,Right-footed shot,Xavi,6,0,2,0
08/09,UEFA Champions League,Quarter-Finals,04/08/09,H,FC Barcelona,Bayern Munich,RW,9,Left-footed shot,Samuel Etoo,4,0,1,0
08/09,UEFA Champions League,Quarter-Finals,04/08/09,H,FC Barcelona,Bayern Munich,RW,38,Right-footed shot,Thierry Henry,4,0,3,0
08/09,LaLiga,31,04/18/09,A,FC Barcelona,Getafe CF,RW,18,Left-footed shot,Xavi,1,0,1,0
08/09,LaLiga,33,04/25/09,A,FC Barcelona,Valencia CF,RW,23,Left-footed shot,Andres Iniesta,2,2,1,0
08/09,LaLiga,34,05/02/09,A,FC Barcelona,Real Madrid,CF,35,Left-footed shot,Xavi,6,2,3,1
08/09,LaLiga,34,05/02/09,A,FC Barcelona,Real Madrid,CF,75,Left-footed shot,Xavi,6,2,5,2
08/09,Copa del Rey,Final,05/13/09,H,FC Barcelona,Athletic Bilbao,RW,55,Left-footed shot,Samuel Etoo,4,1,2,1
08/09,UEFA Champions League,Final,05/27/09,H,FC Barcelona,Manchester United,CF,70,Header,Xavi,2,0,2,0
09/10,Supercopa,Final,08/23/09,H,FC Barcelona,Athletic Bilbao,RW,50,Right-footed shot,Zlatan Ibrahimovic,3,0,1,0
09/10,Supercopa,Final,08/23/09,H,FC Barcelona,Athletic Bilbao,RW,68,Penalty,,3,0,2,0
09/10,LaLiga,2,09/12/09,A,FC Barcelona,Getafe CF,RW,78,Header,Zlatan Ibrahimovic,2,0,2,0
09/10,LaLiga,3,09/19/09,H,FC Barcelona,Atlético de Madrid,RW,15,Left-footed shot,Xavi,5,2,2,0
09/10,LaLiga,3,09/19/09,H,FC Barcelona,Atlético de Madrid,RW,93,Right-footed shot,Dani Alves,5,2,5,2
09/10,LaLiga,4,09/22/09,A,FC Barcelona,Racing Santander,RW,23,Left-footed shot,Xavi,4,1,2,0
09/10,LaLiga,4,09/22/09,A,FC Barcelona,Racing Santander,RW,63,Left-footed shot,Xavi,4,1,4,0
09/10,UEFA Champions League,Group Stage,09/29/09,H,FC Barcelona,Dynamo Kyiv,RW,25,Left-footed shot,Andres Iniesta,2,0,1,0
09/10,LaLiga,8,10/25/09,H,FC Barcelona,Real Zaragoza,RW,80,Left-footed shot,Andres Iniesta,6,1,5,1
09/10,LaLiga,10,11/07/09,H,FC Barcelona,RCD Mallorca,RW,86,Penalty,,4,2,4,1
09/10,Copa del Rey,Fifth Round,11/10/09,H,FC Barcelona,Cultural Leonesa,RW,64,Left-footed shot,Pedro,5,0,4,0
09/10,LaLiga,13,12/05/09,A,FC Barcelona,Deportivo de La Coruña,RW,26,Left-footed shot,Dani Alves,3,1,1,0
09/10,LaLiga,13,12/05/09,A,FC Barcelona,Deportivo de La Coruña,RW,80,Header,Pedro,3,1,2,1
09/10,UEFA Champions League,Group Stage,12/09/09,A,FC Barcelona,Dynamo Kyiv,RW,86,Direct free kick,,2,1,2,1
09/10,FIFA Club World Cup,Semi-Finals,12/16/09,A,FC Barcelona,CF Atlante,RW,55,Left-footed shot,Zlatan Ibrahimovic,3,1,2,1
09/10,FIFA Club World Cup,Final,12/19/09,A,FC Barcelona,Club Estudiantes de La Plata,RW,110,Chest,Dani Alves,T,1,2,1
09/10,LaLiga,17,01/10/10,A,FC Barcelona,CD Tenerife,RW,36,Left-footed shot,Bojan Krkic,5,0,1,0
09/10,LaLiga,17,01/10/10,A,FC Barcelona,CD Tenerife,RW,45,Right-footed shot,Bojan Krkic,5,0,3,0
09/10,LaLiga,17,01/10/10,A,FC Barcelona,CD Tenerife,RW,75,Left-footed shot,Bojan Krkic,5,0,4,0
09/10,LaLiga,18,01/16/10,H,FC Barcelona,Sevilla FC,RW,85,Left-footed shot,Dani Alves,4,0,3,0
09/10,LaLiga,18,01/16/10,H,FC Barcelona,Sevilla FC,RW,91,Left-footed shot,Eric Abidal,4,0,4,0
09/10,LaLiga,19,01/23/10,A,FC Barcelona,Real Valladolid CF,RW,54,Left-footed shot,Zlatan Ibrahimovic,3,0,3,0
09/10,LaLiga,21,02/06/10,H,FC Barcelona,Getafe CF,RW,7,Left-footed shot,Yaya Toure,2,1,1,0
09/10,LaLiga,24,02/27/10,H,FC Barcelona,Málaga CF,RW,84,Right-footed shot,Dani Alves,2,1,2,1
09/10,LaLiga,25,03/06/10,A,FC Barcelona,UD Almera,RW,42,Direct free kick,,2,2,1,1
09/10,LaLiga,25,03/06/10,A,FC Barcelona,UD Almera,RW,66,Left-footed shot,,2,2,2,2
09/10,LaLiga,26,03/14/10,H,FC Barcelona,Valencia CF,CF,56,Left-footed shot,Xavi,3,0,1,0
09/10,LaLiga,26,03/14/10,H,FC Barcelona,Valencia CF,CF,80,Left-footed shot,Thierry Henry,3,0,2,0
09/10,LaLiga,26,03/14/10,H,FC Barcelona,Valencia CF,CF,82,Right-footed shot,Thierry Henry,3,0,3,0
09/10,UEFA Champions League,last 16,03/17/10,H,FC Barcelona,VfB Stuttgart,CF,13,Left-footed shot,Yaya Toure,4,0,1,0
09/10,UEFA Champions League,last 16,03/17/10,H,FC Barcelona,VfB Stuttgart,CF,56,Left-footed shot,Dani Alves,4,0,3,0
09/10,LaLiga,27,03/21/10,A,FC Barcelona,Real Zaragoza,RW,4,Header,Pedro,4,2,1,0
09/10,LaLiga,27,03/21/10,A,FC Barcelona,Real Zaragoza,RW,65,Left-footed shot,,4,2,2,0
09/10,LaLiga,27,03/21/10,A,FC Barcelona,Real Zaragoza,RW,78,Left-footed shot,Andres Iniesta,4,2,3,0
09/10,LaLiga,30,04/03/10,H,FC Barcelona,Athletic Bilbao,CF,67,Left-footed shot,Pedro,4,1,4,0
09/10,UEFA Champions League,Quarter-Finals,04/06/10,H,FC Barcelona,Arsenal FC,CF,21,Left-footed shot,,4,1,1,1
09/10,UEFA Champions League,Quarter-Finals,04/06/10,H,FC Barcelona,Arsenal FC,CF,37,Right-footed shot,Pedro,4,1,2,1
09/10,UEFA Champions League,Quarter-Finals,04/06/10,H,FC Barcelona,Arsenal FC,CF,42,Left-footed shot,Seydou Keita,4,1,3,1
09/10,UEFA Champions League,Quarter-Finals,04/06/10,H,FC Barcelona,Arsenal FC,CF,88,Left-footed shot,Xavi,4,1,4,1
09/10,LaLiga,31,04/10/10,A,FC Barcelona,Real Madrid,CF,32,Right-footed shot,Xavi,2,0,1,0
09/10,LaLiga,35,05/01/10,A,FC Barcelona,Villarreal CF,RW,18,Left-footed shot,Xavi,4,1,1,0
09/10,LaLiga,35,05/01/10,A,FC Barcelona,Villarreal CF,RW,87,Left-footed shot,Dani Alves,4,1,4,1
09/10,LaLiga,36,05/04/10,H,FC Barcelona,CD Tenerife,RW,16,Right-footed shot,Zlatan Ibrahimovic,4,1,1,0
09/10,LaLiga,36,05/04/10,H,FC Barcelona,CD Tenerife,RW,93,Right-footed shot,Dani Alves,4,1,4,1
09/10,LaLiga,37,05/08/10,A,FC Barcelona,Sevilla FC,RW,5,Left-footed shot,Maxwell,3,2,1,0
09/10,LaLiga,38,05/16/10,H,FC Barcelona,Real Valladolid CF,RW,61,Right-footed shot,Yaya Toure,4,0,3,0
09/10,LaLiga,38,05/16/10,H,FC Barcelona,Real Valladolid CF,RW,74,Left-footed shot,Yaya Toure,4,0,4,0
10/11,Supercopa,Final,08/21/10,H,FC Barcelona,Sevilla FC,RW,25,Left-footed shot,Xavi,4,0,2,0
10/11,Supercopa,Final,08/21/10,H,FC Barcelona,Sevilla FC,RW,43,Right-footed shot,Dani Alves,4,0,3,0
10/11,Supercopa,Final,08/21/10,H,FC Barcelona,Sevilla FC,RW,91,Left-footed shot,Andres Iniesta,4,0,4,0
10/11,LaLiga,1,08/29/10,A,FC Barcelona,Racing Santander,RW,3,Left-footed shot,Andres Iniesta,3,0,1,0
10/11,UEFA Champions League,Group Stage,09/14/10,H,FC Barcelona,Panathinaikos Athens,CF,22,Left-footed shot,Xavi,5,1,1,1
10/11,UEFA Champions League,Group Stage,09/14/10,H,FC Barcelona,Panathinaikos Athens,CF,45,Left-footed shot,Pedro,5,1,3,1
10/11,LaLiga,3,09/19/10,A,FC Barcelona,Atlético de Madrid,CF,12,Left-footed shot,Pedro,2,1,1,0
10/11,LaLiga,6,10/03/10,H,FC Barcelona,RCD Mallorca,CF,20,Left-footed shot,Pedro,1,1,1,0
10/11,UEFA Champions League,Group Stage,10/20/10,H,FC Barcelona,FC Copenhagen,CF,18,Left-footed shot,Andres Iniesta,2,0,1,0
10/11,UEFA Champions League,Group Stage,10/20/10,H,FC Barcelona,FC Copenhagen,CF,91,Left-footed shot,Eric Abidal,2,0,2,0
10/11,LaLiga,8,10/23/10,A,FC Barcelona,Real Zaragoza,CF,41,Left-footed shot,David Villa,2,0,1,0
10/11,LaLiga,8,10/23/10,A,FC Barcelona,Real Zaragoza,CF,65,Left-footed shot,,2,0,2,0
10/11,LaLiga,9,10/30/10,H,FC Barcelona,Sevilla FC,RW,4,Left-footed shot,,5,0,1,0
10/11,LaLiga,9,10/30/10,H,FC Barcelona,Sevilla FC,RW,63,Left-footed shot,,5,0,4,0
10/11,UEFA Champions League,Group Stage,11/02/10,A,FC Barcelona,FC Copenhagen,CF,31,Right-footed shot,,1,1,1,0
10/11,LaLiga,10,11/07/10,A,FC Barcelona,Getafe CF,CF,23,Left-footed shot,David Villa,3,1,1,0
10/11,Copa del Rey,4th round,11/10/10,H,FC Barcelona,Club Atlético de Ceuta,RW,67,Left-footed shot,Thiago,5,1,5,1
10/11,LaLiga,11,11/13/10,H,FC Barcelona,Villarreal CF,CF,58,Right-footed shot,Pedro,3,1,2,1
10/11,LaLiga,11,11/13/10,H,FC Barcelona,Villarreal CF,CF,83,Left-footed shot,Pedro,3,1,3,1
10/11,LaLiga,12,11/20/10,A,FC Barcelona,UD Almera,CF,16,Left-footed shot,David Villa,8,0,1,0
10/11,LaLiga,12,11/20/10,A,FC Barcelona,UD Almera,CF,36,Tap-in,,8,0,5,0
10/11,LaLiga,12,11/20/10,A,FC Barcelona,UD Almera,CF,67,Tap-in,David Villa,8,0,7,0
10/11,UEFA Champions League,Group Stage,11/24/10,A,FC Barcelona,Panathinaikos Athens,CF,63,Left-footed shot,Adriano,3,0,2,0
10/11,LaLiga,14,12/04/10,A,FC Barcelona,CA Osasuna,CF,64,Left-footed shot,David Villa,3,0,2,0
10/11,LaLiga,14,12/04/10,A,FC Barcelona,CA Osasuna,CF,82,Penalty,,3,0,3,0
10/11,LaLiga,15,12/12/10,H,FC Barcelona,Real Sociedad,CF,46,Left-footed shot,Dani Alves,5,0,3,0
10/11,LaLiga,15,12/12/10,H,FC Barcelona,Real Sociedad,CF,86,Left-footed shot,Bojan Krkic,5,0,4,0
10/11,LaLiga,18,01/08/11,A,FC Barcelona,Deportivo de La Coruña,CF,51,Direct free kick,,4,0,2,0
10/11,Copa del Rey,Quarter-Finals,01/12/11,H,FC Barcelona,Real Betis Balompie,CF,44,Left-footed shot,Andres Iniesta,5,0,1,0
10/11,Copa del Rey,Quarter-Finals,01/12/11,H,FC Barcelona,Real Betis Balompie,CF,63,Left-footed shot,,5,0,2,0
10/11,Copa del Rey,Quarter-Finals,01/12/11,H,FC Barcelona,Real Betis Balompie,CF,73,Left-footed shot,Xavi,5,0,3,0
10/11,Copa del Rey,Quarter-Finals,01/19/11,A,FC Barcelona,Real Betis Balompie,RW,37,Left-footed shot,Xavi,1,3,1,2
10/11,LaLiga,20,01/22/11,H,FC Barcelona,Racing Santander,CF,33,Penalty,,3,0,2,0
10/11,Copa del Rey,Semi-Finals,01/26/11,H,FC Barcelona,UD Almera,CF,9,Left-footed shot,Pedro,5,0,1,0
10/11,Copa del Rey,Semi-Finals,01/26/11,H,FC Barcelona,UD Almera,CF,15,Left-footed shot,Andres Iniesta,5,0,3,0
10/11,LaLiga,21,01/29/11,A,FC Barcelona,Hercules CF,CF,87,Left-footed shot,Dani Alves,3,0,2,0
10/11,LaLiga,21,01/29/11,A,FC Barcelona,Hercules CF,CF,89,Left-footed shot,Dani Alves,3,0,3,0
10/11,LaLiga,22,02/05/11,H,FC Barcelona,Atlético de Madrid,CF,16,Left-footed shot,Dani Alves,3,0,1,0
10/11,LaLiga,22,02/05/11,H,FC Barcelona,Atlético de Madrid,CF,28,Left-footed shot,Pedro,3,0,2,0
10/11,LaLiga,22,02/05/11,H,FC Barcelona,Atlético de Madrid,CF,78,Left-footed shot,David Villa,3,0,3,0
10/11,LaLiga,24,02/20/11,H,FC Barcelona,Athletic Bilbao,CF,78,Right-footed shot,Dani Alves,2,1,2,1
10/11,LaLiga,25,02/26/11,A,FC Barcelona,RCD Mallorca,CF,38,Header,Seydou Keita,3,0,1,0
10/11,LaLiga,26,03/02/11,A,FC Barcelona,Valencia CF,CF,77,Left-footed shot,Adriano,1,0,1,0
10/11,UEFA Champions League,last 16,03/08/11,H,FC Barcelona,Arsenal FC,RW,49,Left-footed shot,Andres Iniesta,3,1,1,0
10/11,UEFA Champions League,last 16,03/08/11,H,FC Barcelona,Arsenal FC,RW,72,Penalty,,3,1,3,1
10/11,LaLiga,31,04/09/11,H,FC Barcelona,UD Almera,CF,52,Penalty,,3,1,1,1
10/11,LaLiga,31,04/09/11,H,FC Barcelona,UD Almera,CF,91,Left-footed shot,Seydou Keita,3,1,3,1
10/11,UEFA Champions League,Quarter-Finals,04/12/11,A,FC Barcelona,Shakhtar Donetsk,CF,42,Left-footed shot,Dani Alves,1,0,1,0
10/11,LaLiga,32,04/16/11,A,FC Barcelona,Real Madrid,CF,53,Penalty,,1,1,1,0
