Season,Competition,Matchday,Date,Venue,Club,Opponent,Playing_Position,Minute,Type,Goal_assist,MT_Result,Opponent_result,MT_At_Score,Opponent_At_Score
10/11,LaLiga,33,04/23/11,H,FC Barcelona,CA Osasuna,CF,87,Right-footed shot,Dani Alves,2,0,2,0
10/11,UEFA Champions League,Semi-Finals,04/27/11,A,FC Barcelona,Real Madrid,CF,76,Left-footed shot,Ibrahim Afellay,2,0,1,0
10/11,UEFA Champions League,Semi-Finals,04/27/11,A,FC Barcelona,Real Madrid,CF,87,Solo run,Sergio Busquets,2,0,2,0
10/11,UEFA Champions League,Final,05/28/11,H,FC Barcelona,Manchester United,CF,54,Left-footed shot,Andres Iniesta,3,1,2,1
11/12,Supercopa,Final,08/14/11,A,FC Barcelona,Real Madrid,CF,45,Left-footed shot,Thiago,2,2,2,1
11/12,Supercopa,Final,08/17/11,H,FC Barcelona,Real Madrid,CF,44,Right-footed shot,Gerard Pique,3,2,2,1
11/12,Supercopa,Final,08/17/11,H,FC Barcelona,Real Madrid,CF,88,Left-footed shot,Adriano,3,2,3,2
11/12,UEFA Super Cup,Final,08/26/11,H,FC Barcelona,FC Porto,CF,39,Left-footed shot,,2,0,1,0
11/12,LaLiga,2,08/29/11,H,FC Barcelona,Villarreal CF,CF,51,Right-footed shot,Andres Iniesta,5,0,4,0
11/12,LaLiga,2,08/29/11,H,FC Barcelona,Villarreal CF,CF,74,Left-footed shot,Thiago,5,0,5,0
11/12,LaLiga,4,09/17/11,H,FC Barcelona,CA Osasuna,CF,5,Left-footed shot,Dani Alves,8,0,1,0
11/12,LaLiga,4,09/17/11,H,FC Barcelona,CA Osasuna,CF,41,Left-footed shot,Cesc Fabregas,8,0,5,0
11/12,LaLiga,4,09/17/11,H,FC Barcelona,CA Osasuna,CF,79,Left-footed shot,Cesc Fabregas,8,0,8,0
11/12,LaLiga,6,09/24/11,H,FC Barcelona,Atlético de Madrid,CF,26,Left-footed shot,Pedro,5,0,3,0
11/12,LaLiga,6,09/24/11,H,FC Barcelona,Atlético de Madrid,CF,78,Left-footed shot,Dani Alves,5,0,4,0
11/12,LaLiga,6,09/24/11,H,FC Barcelona,Atlético de Madrid,CF,91,Left-footed shot,David Villa,5,0,5,0
11/12,UEFA Champions League,Group Stage,09/28/11,A,FC Barcelona,BATE Borisov,CF,38,Header,,5,0,3,0
11/12,UEFA Champions League,Group Stage,09/28/11,A,FC Barcelona,BATE Borisov,CF,56,Left-footed shot,Dani Alves,5,0,4,0
11/12,LaLiga,8,10/15/11,H,FC Barcelona,Racing Santander,CF,11,Right-footed shot,Andres Iniesta,3,0,1,0
11/12,LaLiga,8,10/15/11,H,FC Barcelona,Racing Santander,CF,69,Right-footed shot,,3,0,3,0
11/12,LaLiga,11,10/29/11,H,FC Barcelona,RCD Mallorca,CF,13,Penalty,,5,0,1,0
11/12,LaLiga,11,10/29/11,H,FC Barcelona,RCD Mallorca,CF,21,Right-footed shot,Adriano,5,0,2,0
11/12,LaLiga,11,10/29/11,H,FC Barcelona,RCD Mallorca,CF,30,Left-footed shot,Dani Alves,5,0,3,0
11/12,UEFA Champions League,Group Stage,11/01/11,A,FC Barcelona,FC Viktoria Plzen,CF,24,Penalty,,4,0,1,0
11/12,UEFA Champions League,Group Stage,11/01/11,A,FC Barcelona,FC Viktoria Plzen,CF,47,Left-footed shot,Adriano,4,0,2,0
11/12,UEFA Champions League,Group Stage,11/01/11,A,FC Barcelona,FC Viktoria Plzen,CF,92,Left-footed shot,Gerard Pique,4,0,4,0
11/12,LaLiga,12,11/06/11,A,FC Barcelona,Athletic Bilbao,CF,90,Left-footed shot,,2,2,2,2
11/12,LaLiga,13,11/19/11,H,FC Barcelona,Real Zaragoza,CF,43,Right-footed shot,Cesc Fabregas,4,0,2,0
11/12,UEFA Champions League,Group Stage,11/23/11,A,FC Barcelona,AC Milan,SS,31,Penalty,,3,2,2,1
11/12,LaLiga,17,11/29/11,H,FC Barcelona,Rayo Vallecano,CF,49,Left-footed shot,Dani Alves,4,0,4,0
11/12,LaLiga,15,12/03/11,H,FC Barcelona,Levante UD,CF,55,Left-footed shot,Dani Alves,5,0,4,0
11/12,FIFA Club World Cup,Final,12/18/11,A,FC Barcelona,Santos FC,RW,17,Left-footed shot,Xavi,4,0,1,0
11/12,FIFA Club World Cup,Final,12/18/11,A,FC Barcelona,Santos FC,RW,82,Left-footed shot,Dani Alves,4,0,4,0
11/12,Copa del Rey,last 16,01/04/12,H,FC Barcelona,CA Osasuna,CF,71,Header,Cesc Fabregas,4,0,3,0
11/12,Copa del Rey,last 16,01/04/12,H,FC Barcelona,CA Osasuna,CF,90,Left-footed shot,Xavi,4,0,4,0
11/12,LaLiga,19,01/15/12,H,FC Barcelona,Real Betis Balompie,CF,12,Right-footed shot,Alexis Sanchez,4,2,2,0
11/12,LaLiga,19,01/15/12,H,FC Barcelona,Real Betis Balompie,CF,86,Penalty,,4,2,4,2
11/12,LaLiga,1,01/22/12,A,FC Barcelona,Málaga CF,CF,32,Header,Adriano,4,1,1,0
11/12,LaLiga,1,01/22/12,A,FC Barcelona,Málaga CF,CF,51,Left-footed shot,Thiago,4,1,3,0
11/12,LaLiga,1,01/22/12,A,FC Barcelona,Málaga CF,CF,77,Left-footed shot,Pedro,4,1,4,0
11/12,LaLiga,22,02/04/12,H,FC Barcelona,Real Sociedad,CF,72,Left-footed shot,Dani Alves,2,1,2,0
11/12,UEFA Champions League,last 16,02/14/12,A,FC Barcelona,Bayer 04 Leverkusen,CF,88,Left-footed shot,Dani Alves,3,1,3,1
11/12,LaLiga,24,02/19/12,H,FC Barcelona,Valencia CF,CF,21,Left-footed shot,,5,1,1,1
11/12,LaLiga,24,02/19/12,H,FC Barcelona,Valencia CF,CF,27,Tap-in,,5,1,2,1
11/12,LaLiga,24,02/19/12,H,FC Barcelona,Valencia CF,CF,75,Left-footed shot,Cristian Tello,5,1,3,1
11/12,LaLiga,24,02/19/12,H,FC Barcelona,Valencia CF,CF,84,Left-footed shot,Sergio Busquets,5,1,4,1
11/12,LaLiga,25,02/26/12,A,FC Barcelona,Atlético de Madrid,CF,79,Direct free kick,,2,1,2,1
11/12,UEFA Champions League,last 16,03/07/12,H,FC Barcelona,Bayer 04 Leverkusen,CF,25,Left-footed shot,Xavi,7,1,1,0
11/12,UEFA Champions League,last 16,03/07/12,H,FC Barcelona,Bayer 04 Leverkusen,CF,42,Left-footed shot,Andres Iniesta,7,1,2,0
11/12,UEFA Champions League,last 16,03/07/12,H,FC Barcelona,Bayer 04 Leverkusen,CF,50,Right-footed shot,Cesc Fabregas,7,1,3,0
11/12,UEFA Champions League,last 16,03/07/12,H,FC Barcelona,Bayer 04 Leverkusen,CF,58,Left-footed shot,,7,1,5,0
11/12,UEFA Champions League,last 16,03/07/12,H,FC Barcelona,Bayer 04 Leverkusen,CF,85,Left-footed shot,Seydou Keita,7,1,7,0
11/12,LaLiga,27,03/11/12,A,FC Barcelona,Racing Santander,CF,28,Left-footed shot,Cesc Fabregas,2,0,1,0
11/12,LaLiga,27,03/11/12,A,FC Barcelona,Racing Santander,CF,55,Penalty,,2,0,2,0
11/12,LaLiga,28,03/17/12,A,FC Barcelona,Sevilla FC,CF,25,Left-footed shot,Andres Iniesta,2,0,2,0
11/12,LaLiga,29,03/20/12,H,FC Barcelona,Granada CF,CF,16,Left-footed shot,Isaac Cuenca,5,3,2,0
11/12,LaLiga,29,03/20/12,H,FC Barcelona,Granada CF,CF,66,Left-footed shot,Dani Alves,5,3,3,2
11/12,LaLiga,29,03/20/12,H,FC Barcelona,Granada CF,CF,85,Left-footed shot,Dani Alves,5,3,5,2
11/12,LaLiga,30,03/24/12,A,FC Barcelona,RCD Mallorca,CF,25,Direct free kick,,2,0,1,0
11/12,LaLiga,31,03/31/12,H,FC Barcelona,Athletic Bilbao,CF,57,Penalty,,2,0,2,0
11/12,UEFA Champions League,Quarter-Finals,04/03/12,H,FC Barcelona,AC Milan,RW,11,Penalty,,3,1,1,0
11/12,UEFA Champions League,Quarter-Finals,04/03/12,H,FC Barcelona,AC Milan,RW,42,Penalty,,3,1,2,1
11/12,LaLiga,32,04/07/12,A,FC Barcelona,Real Zaragoza,CF,39,Left-footed shot,Alexis Sanchez,4,1,2,1
11/12,LaLiga,32,04/07/12,A,FC Barcelona,Real Zaragoza,CF,86,Penalty,,4,1,3,1
11/12,LaLiga,33,04/10/12,H,FC Barcelona,Getafe CF,CF,44,Left-footed shot,Andres Iniesta,4,0,2,0
11/12,LaLiga,34,04/14/12,A,FC Barcelona,Levante UD,CF,64,Left-footed shot,Alexis Sanchez,2,1,1,1
11/12,LaLiga,34,04/14/12,A,FC Barcelona,Levante UD,CF,73,Penalty,,2,1,2,1
11/12,LaLiga,36,04/29/12,A,FC Barcelona,Rayo Vallecano,CF,16,Left-footed shot,Pedro,7,0,1,0
11/12,LaLiga,36,04/29/12,A,FC Barcelona,Rayo Vallecano,CF,88,Left-footed shot,Pedro,7,0,7,0
11/12,LaLiga,20,05/02/12,H,FC Barcelona,Málaga CF,CF,34,Penalty,,4,1,2,1
11/12,LaLiga,20,05/02/12,H,FC Barcelona,Málaga CF,CF,60,Penalty,,4,1,3,1
11/12,LaLiga,20,05/02/12,H,FC Barcelona,Málaga CF,CF,63,Left-footed shot,Andres Iniesta,4,1,4,1
11/12,LaLiga,37,05/05/12,H,FC Barcelona,RCD Espanyol Barcelona,CF,11,Direct free kick,,4,0,1,0
11/12,LaLiga,37,05/05/12,H,FC Barcelona,RCD Espanyol Barcelona,CF,63,Penalty,,4,0,2,0
11/12,LaLiga,37,05/05/12,H,FC Barcelona,RCD Espanyol Barcelona,CF,73,Left-footed shot,Adriano,4,0,3,0
11/12,LaLiga,37,05/05/12,H,FC Barcelona,RCD Espanyol Barcelona,CF,78,Penalty,,4,0,4,0
11/12,Copa del Rey,Final,05/25/12,H,FC Barcelona,Athletic Bilbao,CF,20,Right-footed shot,Andres Iniesta,3,0,2,0
12/13,LaLiga,1,08/19/12,H,FC Barcelona,Real Sociedad,CF,10,Left-footed shot,Pedro,5,1,2,1
12/13,LaLiga,1,08/19/12,H,FC Barcelona,Real Sociedad,CF,15,Left-footed shot,Cristian Tello,5,1,3,1
12/13,Supercopa,Final,08/23/12,H,FC Barcelona,Real Madrid,CF,60,Penalty,,3,2,2,1
12/13,LaLiga,2,08/26/12,A,FC Barcelona,CA Osasuna,CF,74,Left-footed shot,Alexis Sanchez,2,1,1,1
12/13,LaLiga,2,08/26/12,A,FC Barcelona,CA Osasuna,CF,79,Left-footed shot,Jordi Alba,2,1,2,1
12/13,Supercopa,Final,08/29/12,A,FC Barcelona,Real Madrid,CF,45,Direct free kick,,1,2,1,2
12/13,LaLiga,4,09/15/12,A,FC Barcelona,Getafe CF,CF,74,Penalty,,4,1,2,0
12/13,LaLiga,4,09/15/12,A,FC Barcelona,Getafe CF,CF,78,Left-footed shot,Pedro,4,1,3,0
12/13,UEFA Champions League,Group Stage,09/19/12,H,FC Barcelona,Spartak Moscow,CF,71,Left-footed shot,Cristian Tello,3,2,2,2
12/13,UEFA Champions League,Group Stage,09/19/12,H,FC Barcelona,Spartak Moscow,CF,80,Header,Alexis Sanchez,3,2,3,2
12/13,LaLiga,7,10/07/12,H,FC Barcelona,Real Madrid,CF,31,Left-footed shot,,2,2,1,1
12/13,LaLiga,7,10/07/12,H,FC Barcelona,Real Madrid,CF,60,Direct free kick,,2,2,2,1
12/13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruña,CF,17,Left-footed shot,Cesc Fabregas,5,4,3,0
12/13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruña,CF,43,Left-footed shot,Cesc Fabregas,5,4,4,2
12/13,LaLiga,8,10/20/12,A,FC Barcelona,Deportivo de La Coruña,CF,76,Left-footed shot,Xavi,5,4,5,3
12/13,LaLiga,9,10/27/12,A,FC Barcelona,Rayo Vallecano,CF,48,Left-footed shot,Marta Montoya,5,0,2,0
12/13,LaLiga,9,10/27/12,A,FC Barcelona,Rayo Vallecano,CF,89,Right-footed shot,Cesc Fabregas,5,0,5,0
12/13,UEFA Champions League,Group Stage,11/07/12,A,FC Barcelona,Celtic FC,CF,91,Tap-in,,1,2,1,2
12/13,LaLiga,11,11/11/12,A,FC Barcelona,RCD Mallorca,CF,43,Left-footed shot,Sergio Busquets,4,2,2,0
12/13,LaLiga,11,11/11/12,A,FC Barcelona,RCD Mallorca,CF,70,Left-footed shot,Alexis Sanchez,4,2,4,2
12/13,LaLiga,12,11/17/12,H,FC Barcelona,Real Zaragoza,CF,15,Left-footed shot,Jordi Alba,3,1,1,0
12/13,LaLiga,12,11/17/12,H,FC Barcelona,Real Zaragoza,CF,60,Left-footed shot,Marta Montoya,3,1,3,1
12/13,UEFA Champions League,Group Stage,11/20/12,A,FC Barcelona,Spartak Moscow,CF,27,Right-footed shot,,3,0,2,0
12/13,UEFA Champions League,Group Stage,11/20/12,A,FC Barcelona,Spartak Moscow,CF,39,Left-footed shot,Pedro,3,0,3,0
12/13,LaLiga,13,11/25/12,A,FC Barcelona,Levante UD,CF,46,Left-footed shot,Andres Iniesta,4,0,1,0
12/13,LaLiga,13,11/25/12,A,FC Barcelona,Levante UD,CF,51,Left-footed shot,Andres Iniesta,4,0,2,0
12/13,LaLiga,14,12/01/12,H,FC Barcelona,Athletic Bilbao,CF,24,Left-footed shot,Xavi,5,1,2,0
12/13,LaLiga,14,12/01/12,H,FC Barcelona,Athletic Bilbao,CF,69,Right-footed shot,Pedro,5,1,5,1
12/13,LaLiga,15,12/09/12,A,FC Barcelona,Real Betis Balompie,CF,16,Left-footed shot,Andres Iniesta,2,1,1,0
12/13,LaLiga,15,12/09/12,A,FC Barcelona,Real Betis Balompie,CF,25,Left-footed shot,Andres Iniesta,2,1,2,0
12/13,Copa del Rey,last 16,12/12/12,A,FC Barcelona,Córdoba CF,CF,10,Left-footed shot,David Villa,2,0,1,0
12/13,Copa del Rey,last 16,12/12/12,A,FC Barcelona,Córdoba CF,CF,73,Left-footed shot,Alexis Sanchez,2,0,2,0
12/13,LaLiga,16,12/16/12,H,FC Barcelona,Atlético de Madrid,CF,58,Left-footed shot,Alexis Sanchez,4,1,3,1
12/13,LaLiga,16,12/16/12,H,FC Barcelona,Atlético de Madrid,CF,88,Left-footed shot,,4,1,4,1
12/13,LaLiga,17,12/22/12,A,FC Barcelona,Real Valladolid CF,CF,59,Left-footed shot,Xavi,3,1,2,0
12/13,LaLiga,18,01/06/13,H,FC Barcelona,RCD Espanyol Barcelona,CF,28,Penalty,,4,0,4,0
12/13,LaLiga,19,01/13/13,A,FC Barcelona,Málaga CF,CF,26,Right-footed shot,,3,1,1,0
12/13,Copa del Rey,Quarter-Finals,01/16/13,H,FC Barcelona,Málaga CF,CF,29,Left-footed shot,,2,2,1,1
12/13,LaLiga,20,01/19/13,A,FC Barcelona,Real Sociedad,CF,6,Left-footed shot,Andres Iniesta,2,3,1,0
12/13,Copa del Rey,Quarter-Finals,01/24/13,A,FC Barcelona,Málaga CF,CF,79,Header,Dani Alves,4,2,4,2
12/13,LaLiga,21,01/27/13,H,FC Barcelona,CA Osasuna,CF,11,Right-footed shot,Xavi,5,1,1,0
12/13,LaLiga,21,01/27/13,H,FC Barcelona,CA Osasuna,CF,28,Penalty,,5,1,2,1
12/13,LaLiga,21,01/27/13,H,FC Barcelona,CA Osasuna,CF,56,Left-footed shot,David Villa,5,1,4,1
12/13,LaLiga,21,01/27/13,H,FC Barcelona,CA Osasuna,CF,58,Left-footed shot,Adriano,5,1,5,1
12/13,LaLiga,22,02/03/13,A,FC Barcelona,Valencia CF,CF,39,Penalty,,1,1,1,1
12/13,LaLiga,23,02/10/13,H,FC Barcelona,Getafe CF,CF,13,Left-footed shot,Thiago,6,1,2,0
12/13,LaLiga,24,02/16/13,A,FC Barcelona,Granada CF,CF,49,Left-footed shot,,2,1,1,1
12/13,LaLiga,24,02/16/13,A,FC Barcelona,Granada CF,CF,72,Direct free kick,,2,1,2,1
12/13,LaLiga,25,02/23/13,H,FC Barcelona,Sevilla FC,CF,60,Left-footed shot,Cristian Tello,2,1,2,1
12/13,LaLiga,26,03/02/13,A,FC Barcelona,Real Madrid,CF,18,Left-footed shot,Dani Alves,1,2,1,1
12/13,LaLiga,27,03/09/13,H,FC Barcelona,Deportivo de La Coruña,CF,88,Left-footed shot,Alexis Sanchez,2,0,2,0
12/13,UEFA Champions League,last 16,03/12/13,H,FC Barcelona,AC Milan,CF,5,Left-footed shot,Xavi,4,0,1,0
12/13,UEFA Champions League,last 16,03/12/13,H,FC Barcelona,AC Milan,CF,40,Left-footed shot,Andres Iniesta,4,0,2,0
12/13,LaLiga,28,03/17/13,H,FC Barcelona,Rayo Vallecano,CF,40,Left-footed shot,David Villa,3,1,2,0
12/13,LaLiga,28,03/17/13,H,FC Barcelona,Rayo Vallecano,CF,57,Left-footed shot,David Villa,3,1,3,0
12/13,LaLiga,29,03/30/13,A,FC Barcelona,Celta de Vigo,CF,73,Left-footed shot,Cristian Tello,2,2,2,1
12/13,UEFA Champions League,Quarter-Finals,04/02/13,A,FC Barcelona,Paris Saint-Germain,CF,38,Left-footed shot,Dani Alves,2,2,1,0
12/13,LaLiga,33,04/27/13,A,FC Barcelona,Athletic Bilbao,CF,67,Left-footed shot,Thiago,2,2,1,1
12/13,LaLiga,34,05/05/13,H,FC Barcelona,Real Betis Balompie,CF,60,Direct free kick,,4,2,3,2
12/13,LaLiga,34,05/05/13,H,FC Barcelona,Real Betis Balompie,CF,71,Left-footed shot,Alexis Sanchez,4,2,4,2
13/14,LaLiga,1,08/18/13,H,FC Barcelona,Levante UD,CF,13,Left-footed shot,Pedro,7,0,2,0
13/14,LaLiga,1,08/18/13,H,FC Barcelona,Levante UD,CF,42,Penalty,,7,0,5,0
13/14,LaLiga,3,09/01/13,A,FC Barcelona,Valencia CF,CF,11,Left-footed shot,Cesc Fabregas,3,2,1,0
13/14,LaLiga,3,09/01/13,A,FC Barcelona,Valencia CF,CF,39,Right-footed shot,Cesc Fabregas,3,2,2,0
13/14,LaLiga,3,09/01/13,A,FC Barcelona,Valencia CF,CF,41,Left-footed shot,Neymar,3,2,3,0
13/14,LaLiga,4,09/14/13,H,FC Barcelona,Sevilla FC,CF,75,Left-footed shot,Neymar,3,2,2,0
13/14,UEFA Champions League,Group Stage,09/18/13,H,FC Barcelona,Ajax Amsterdam,CF,22,Direct free kick,,4,0,1,0
13/14,UEFA Champions League,Group Stage,09/18/13,H,FC Barcelona,Ajax Amsterdam,CF,55,Left-footed shot,Sergio Busquets,4,0,2,0
13/14,UEFA Champions League,Group Stage,09/18/13,H,FC Barcelona,Ajax Amsterdam,CF,75,Left-footed shot,Xavi,4,0,4,0
13/14,LaLiga,6,09/24/13,H,FC Barcelona,Real Sociedad,CF,8,Header,Neymar,4,1,2,0
13/14,LaLiga,7,09/28/13,A,FC Barcelona,UD Almera,CF,21,Left-footed shot,Pedro,2,0,1,0
13/14,UEFA Champions League,Group Stage,10/22/13,A,FC Barcelona,AC Milan,CF,23,Left-footed shot,Andres Iniesta,1,1,1,1
13/14,UEFA Champions League,Group Stage,11/06/13,H,FC Barcelona,AC Milan,CF,30,Penalty,,3,1,1,0
13/14,UEFA Champions League,Group Stage,11/06/13,H,FC Barcelona,AC Milan,CF,83,Left-footed shot,Cesc Fabregas,3,1,3,1
13/14,Copa del Rey,last 16,01/08/14,H,FC Barcelona,Getafe CF,CF,90,Left-footed shot,Marta Montoya,4,0,3,0
13/14,Copa del Rey,last 16,01/08/14,H,FC Barcelona,Getafe CF,CF,92,Left-footed shot,Alex Song,4,0,4,0
13/14,Copa del Rey,last 16,01/16/14,A,FC Barcelona,Getafe CF,CF,43,Right-footed shot,Cristian Tello,2,0,1,0
13/14,Copa del Rey,last 16,01/16/14,A,FC Barcelona,Getafe CF,CF,63,Left-footed shot,,2,0,2,0
13/14,LaLiga,22,02/01/14,H,FC Barcelona,Valencia CF,CF,54,Penalty,,2,3,2,2
13/14,LaLiga,23,02/09/14,A,FC Barcelona,Sevilla FC,CF,44,Left-footed shot,Pedro,4,1,2,1
13/14,LaLiga,23,02/09/14,A,FC Barcelona,Sevilla FC,CF,56,Left-footed shot,Andres Iniesta,4,1,3,1
13/14,Copa del Rey,Semi-Finals,02/12/14,A,FC Barcelona,Real Sociedad,CF,26,Solo run,,1,1,1,0
13/14,LaLiga,24,02/15/14,H,FC Barcelona,Rayo Vallecano,CF,36,Left-footed shot,Cesc Fabregas,6,0,2,0
13/14,LaLiga,24,02/15/14,H,FC Barcelona,Rayo Vallecano,CF,68,Left-footed shot,Alexis Sanchez,6,0,5,0
13/14,UEFA Champions League,last 16,02/18/14,A,FC Barcelona,Manchester City,CF,54,Penalty,,2,0,1,0
13/14,LaLiga,25,02/22/14,A,FC Barcelona,Real Sociedad,CF,36,Left-footed shot,Marta Montoya,1,3,1,1
13/14,LaLiga,26,03/02/14,H,FC Barcelona,UD Almera,CF,24,Direct free kick,,4,1,2,0
13/14,UEFA Champions League,last 16,03/12/14,H,FC Barcelona,Manchester City,CF,67,Left-footed shot,,2,1,1,0
13/14,LaLiga,28,03/16/14,H,FC Barcelona,CA Osasuna,CF,18,Left-footed shot,Alexis Sanchez,7,0,1,0
13/14,LaLiga,28,03/16/14,H,FC Barcelona,CA Osasuna,CF,63,Left-footed shot,Andres Iniesta,7,0,4,0
13/14,LaLiga,28,03/16/14,H,FC Barcelona,CA Osasuna,CF,88,Right-footed shot,Dani Alves,7,0,6,0
13/14,LaLiga,29,03/23/14,A,FC Barcelona,Real Madrid,CF,42,Left-footed shot,Neymar,4,3,2,2
13/14,LaLiga,29,03/23/14,A,FC Barcelona,Real Madrid,CF,65,Penalty,,4,3,3,3
13/14,LaLiga,29,03/23/14,A,FC Barcelona,Real Madrid,CF,84,Penalty,,4,3,4,3
13/14,LaLiga,30,03/26/14,H,FC Barcelona,Celta de Vigo,CF,30,Right-footed shot,Andres Iniesta,3,0,2,0
13/14,LaLiga,31,03/29/14,A,FC Barcelona,RCD Espanyol Barcelona,CF,77,Penalty,,1,0,1,0
13/14,LaLiga,32,04/05/14,H,FC Barcelona,Real Betis Balompie,CF,15,Penalty,,3,1,1,0
13/14,LaLiga,32,04/05/14,H,FC Barcelona,Real Betis Balompie,CF,86,Penalty rebound,Antonio A05a,3,1,3,1
13/14,LaLiga,34,04/20/14,H,FC Barcelona,Athletic Bilbao,CF,74,Direct free kick,,2,1,2,1
13/14,LaLiga,35,04/27/14,A,FC Barcelona,Villarreal CF,CF,83,Right-footed shot,Cesc Fabregas,3,2,3,2
13/14,LaLiga,36,05/03/14,H,FC Barcelona,Getafe CF,CF,23,Left-footed shot,Dani Alves,2,2,1,0
14/15,LaLiga,1,08/24/14,H,FC Barcelona,Elche CF,CF,42,Left-footed shot,Sergio Busquets,3,0,1,0
14/15,LaLiga,1,08/24/14,H,FC Barcelona,Elche CF,CF,64,Left-footed shot,,3,0,3,0
14/15,LaLiga,4,09/21/14,A,FC Barcelona,Levante UD,CF,77,Right-footed shot,,5,0,5,0
14/15,LaLiga,6,09/27/14,H,FC Barcelona,Granada CF,CF,62,Header,Dani Alves,6,0,4,0
14/15,LaLiga,6,09/27/14,H,FC Barcelona,Granada CF,CF,82,Right-footed shot,,6,0,6,0
